profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p3,t2,kama,1622,0,0.307298,4.14,2,2.07,46.712,14,173418
p3,t2,quetra,2114.1,14,0.217145,3.94,2,1.97,0,0,224345
p3,t2,ra,2037.84,12,0.222509,3.835,2,1.9175,0,0,216608
p3,t3,abr,1321.73,22,0.299722,1.922,2,0.961,73.09,73,406403
p3,t3,ar,2711.97,18,0.289407,1.971,1,1.971,0,0,857522
p3,t3,bba,1967.64,19,0.331813,1.952,1,1.952,0,0,612059
p3,t3,bola,2154.28,5,0.219575,3.219,2,1.6095,0,0,682941
p3,t3,dy,1232.34,4,0.381642,1.939,1,1.939,109.747,96,387987
p3,t3,elastic,2180.25,53,0.207842,3.119,2,1.5595,0,0,642005
p3,t3,gd,1198,0,0.38664,2.193,1,2.193,111.902,96,382104
p3,t3,kama,1240.34,4,0.380881,1.678,2,0.839,108.371,91,392416
p3,t3,quetra,2711.51,28,0.300997,1.91,2,0.955,0,0,841720
p3,t3,ra,2651.93,14,0.270898,1.843,2,0.9215,0,0,841506
p3,t4,abr,1305.21,10,0.300885,0,0,0,45,3,131068
p3,t4,ar,2799.21,10,0.26144,0,0,0,0,0,301080
p3,t4,bba,1840.27,11,0.361704,0,0,0,0,0,186907
p3,t4,bola,1745.38,1,0.249373,0,0,0,0,0,186521
p3,t4,dy,1143,0,0.376658,0,0,0,114.411,1,117924
p3,t4,elastic,1619.27,22,0.237448,0,0,0,0,0,148844
p3,t4,gd,1143,0,0.378762,0,0,0,114.014,4,112973
p3,t4,kama,1262.71,4,0.370549,0,0,0,95.085,1,127543
p3,t4,quetra,2232.11,11,0.297029,0,0,0,0,0,234940
p3,t4,ra,1987.74,8,0.269515,0,0,0,0,0,211189
p3,t5,abr,855.363,15,0.391478,0,0,0,0,0,41717.6
p3,t5,ar,2084.63,12,0.583309,0,0,0,0,0,114796
p3,t5,bba,872.662,4,0.671217,0,0,0,0,0,47808.3
p3,t5,bola,1495.83,11,0.384744,0,0,0,0,0,81300.6
p3,t5,dy,842.446,10,0.725681,0,0,0,0,0,44364
p3,t5,elastic,1071.6,22,0.355184,10.051,4,2.51275,0,0,25410.7
p3,t5,gd,484.722,8,0.755605,0,0,0,0,0,20450.8
p3,t5,kama,357.28,2,0.770881,0,0,0,0,0,15335.7
p3,t5,quetra,2029.37,8,0.538773,0,0,0,0,0,113174
p3,t5,ra,970.868,6,0.543174,0,0,0,0,0,52319.4
p3,t6,abr,1043.21,60,0.38328,0,0,0,0,0,174836
p3,t6,ar,2094.97,74,0.418234,0,0,0,0,0,397941
p3,t6,bba,1655.75,19,0.439044,0,0,0,0,0,327059
p3,t6,bola,1518.77,33,0.286365,0,0,0,0,0,286762
p3,t6,dy,2860.07,133,0.788265,0,0,0,20.38,11,521164
p3,t6,elastic,1453.65,117,0.340669,2.446,1,2.446,0,0,228033
p3,t6,gd,850.695,27,0.81725,0,0,0,190.934,78,152408
p3,t6,kama,1835.95,89,0.809754,0,0,0,98.998,38,322962
p3,t6,quetra,1921.46,55,0.41578,0,0,0,0,0,366080
p3,t6,ra,2005.17,52,0.416042,0,0,0,0,0,383228
p3,t7,abr,957.325,46,0.464561,0,0,0,19.75,18,280578
p3,t7,ar,1676.28,41,0.448945,0,0,0,0,0,525365
p3,t7,bba,1449.67,7,0.584611,0,0,0,0,0,476186
p3,t7,bola,1703.21,15,0.321373,0,0,0,0,0,553349
