profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe,bufSize
p4,t4,bba,1482.33,39,0.15298,4.738,4,1.1845,0,0,116398,30/60
p4,t4,bola,1143,0,0.162612,9.798,5,1.9596,0,0,76988,30/60
p4,t4,dy,1143,0,0.157408,4.59,2,2.295,131.704,62,103828,30/60
p4,t4,elastic,1177.4,6,0.128891,0.545,1,0.545,114.705,59,116588,30/60
p4,t4,gd,1143,0,0.149604,3.552,2,1.776,133.067,61,107053,30/60
p4,t4,kama,1143,0,0.144155,2.82,1,2.82,130.984,62,111288,30/60
p4,t4,quetra,1198.06,2,0.144002,2.653,2,1.3265,107.241,57,114265,30/60
p4,t4,ra,2228.46,27,0.173472,52.341,10,5.2341,6.492,5,-1566.71,30/60
p4,t5,abr,932.162,78,0.394937,5.22,2,2.61,32.156,26,4258.47,30/60
p4,t5,ar,1668.64,32,0.49643,9.829,2,4.9145,3.563,2,59689.6,30/60
p4,t5,bba,1316.48,30,0.406683,13.612,1,13.612,2.821,2,34511.8,30/60
p4,t5,bola,575.438,5,0.381472,3.919,3,1.30633,0,0,21433.9,30/60
p4,t5,dy,1112.76,22,0.576407,16.409,1,16.409,46.012,21,16415.1,30/60
p4,t5,elastic,764.379,24,0.272845,6.675,4,1.66875,18.637,12,19935.9,30/60
p4,t5,gd,381.848,4,0.568893,5.253,2,2.6265,86.533,41,8033.24,30/60
p4,t5,kama,590.391,10,0.572354,0,0,0,72.408,34,26045.6,30/60
p4,t5,quetra,1310.72,34,0.476454,16.773,2,8.3865,7.941,4,23873.1,30/60
p4,t5,ra,1337.34,26,0.432304,16.781,2,8.3905,10.584,3,32070.8,30/60
p4,t6,abr,1499.86,736,0.302826,1.82,1,1.82,28.648,24,-367266,30/60
p4,t6,ar,1008.71,104,0.426338,0,0,0,0,0,175820,30/60
p4,t6,bba,1112.16,173,0.839531,0,0,0,0,0,177303,30/60
p4,t6,bola,797.829,83,0.399686,6.481,3,2.16033,0,0,95097.7,30/60
p4,t6,dy,2955.05,119,0.719875,0,0,0,80.505,42,538729,30/60
p4,t6,elastic,976.408,116,0.240437,6.182,4,1.5455,0,0,116702,30/60
p4,t6,gd,255.472,3,0.703018,0,0,0,314.032,155,40854.3,30/60
p4,t6,kama,2065.72,77,0.726915,21.588,1,21.588,200.178,99,241608,30/60
p4,t6,quetra,1147.7,112,0.465925,0,0,0,0,0,202518,30/60
p4,t6,ra,1048.36,92,0.321696,0,0,0,0,0,190246,30/60
p4,t7,abr,838.338,475,0.447946,0,0,0,98.247,123,-130087,30/60
p4,t7,ar,1194.58,43,0.441353,0,0,0,0,0,367388,30/60
p4,t7,bba,1118.13,73,0.366521,0,0,0,0,0,317204,30/60
p4,t7,bola,622.693,16,0.488139,3.726,5,0.7452,0,0,181553,30/60
p4,t7,dy,1227.75,51,0.667582,0,0,0,136.408,117,369235,30/60
p4,t7,elastic,1088.72,97,0.317172,0,0,0,6.624,9,294235,30/60
p4,t7,gd,658.178,21,0.668605,0,0,0,214.604,193,200960,30/60
p4,t7,kama,540.29,17,0.652185,0,0,0,236.242,212,163628,30/60
p4,t7,quetra,1161.7,41,0.426847,0,0,0,0,0,359516,30/60
p4,t7,ra,1173.93,45,0.402865,0,0,0,0,0,359874,30/60
p1,t1,abr,2009.71,11,0.327201,0,0,0,48.781,17,578385,120
p1,t1,ar,3158.36,24,0.346179,0,0,0,0,0,896519,120
p1,t1,bba,2878.43,14,0.401456,0,0,0,0,0,823815,120
p1,t1,bola,3020.02,6,0.335798,0,0,0,0,0,883047,120
