profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p3,t6,elastic,1399.19,109,0.266098,2.753,1,2.753,0,0,211314
p3,t6,gd,980.622,23,0.811347,0,0,0,285.964,135,178615
p3,t6,kama,1437.22,61,0.787388,0,0,0,219.283,105,262073
p3,t6,quetra,1805.25,76,0.428024,0,0,0,0,0,334011
p3,t6,ra,1654.19,79,0.39688,0,0,0,0,0,298226
p3,t7,abr,947.015,53,0.43431,0,0,0,68.417,82,273087
p3,t7,ar,1723.51,37,0.383863,0,0,0,0,0,543669
p3,t7,bba,1507.69,33,0.858008,0,0,0,0,0,472411
p3,t7,bola,1671.47,17,0.324779,0,0,0,0,0,540925
p3,t7,dy,1083.42,81,0.748195,0,0,0,173.838,141,298125
p3,t7,elastic,1707.36,82,0.288712,0.768,1,0.768,0,0,497855
p3,t7,gd,548.485,33,0.735433,0,0,0,262.809,213,152830
p3,t7,kama,757.254,53,0.742991,0,0,0,239.786,194,208210
p3,t7,quetra,1759.59,36,0.346862,0,0,0,0,0,556806
p3,t7,ra,1661.38,33,0.363783,0,0,0,0,0,523620
p4,t1,abr,1231.02,68,0.153777,62.587,41,1.52651,0,0,-3500.96
p4,t1,ar,1200,0,0.148817,63.888,42,1.52114,0,0,80306
p4,t1,bba,1200,0,0.150929,63.601,41,1.55124,0,0,82725
p4,t1,bola,1200,0,0.146151,62.995,36,1.74986,0,0,82999.7
p4,t1,dy,1200,0,0.148392,63.684,41,1.55327,0,0,83163.7
p4,t1,elastic,1200,0,0.159721,63.545,36,1.76514,0,0,78674.2
p4,t1,gd,1200,0,0.148263,63.725,39,1.63397,0,0,80297.8
p4,t1,kama,1200,0,0.152793,63.89,39,1.63821,0,0,82421.6
p4,t1,quetra,1200,0,0.142265,63.907,37,1.72722,0,0,81035.8
p4,t1,ra,1200,0,0.151058,63.309,41,1.54412,0,0,85513
p4,t2,abr,1907.87,66,0.128366,53.048,20,2.6524,0,0,-69342.2
p4,t2,ar,1622,0,0.144854,52.748,20,2.6374,0,0,-19338.5
