profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow
p2,t4,quetra,3018.17,10,0.295239,0,0,0,10.059,0
p2,t4,ra,3074.59,11,0.233071,0,0,0,0,0
p2,t5,abr,1840.57,4,0.437646,0.941,1,0.941,0,0
p2,t5,ar,2612.68,8,0.472662,0,0,0,10.68,4
p2,t5,bba,2398.65,8,0.490727,0,0,0,15.674,6
p2,t5,bola,1838.12,4,0.436527,2.041,2,1.0205,0,0
p2,t5,dy,2507.92,18,0.568625,0,0,0,15.379,6
p2,t5,elastic,2438.13,8,0.337699,1.38,2,0.69,0,0
p2,t5,gd,982.695,26,0.700753,0,0,0,31.945,10
p2,t5,kama,2149.32,16,0.686243,0,0,0,50.94,19
p2,t5,quetra,2593.83,8,0.489459,0,0,0,9.697,3
p2,t5,ra,2597.04,8,0.478903,0,0,0,10.747,4
p2,t6,abr,1752.19,42,0.350563,3.269,1,3.269,51.599,28
p2,t6,ar,2701.17,89,0.465855,0,0,0,0,0
p2,t6,bba,2613.46,29,0.350103,0,0,0,0,0
p2,t6,bola,2530.78,17,0.295404,2.94,1,2.94,0,0
p2,t6,dy,3682.02,133,0.553767,0,0,0,31.905,15
p2,t6,elastic,2450.87,43,0.267917,3.087,1,3.087,0,0
p2,t6,gd,2723.99,144,0.760337,0,0,0,94.681,42
p2,t6,kama,2986.72,178,0.810363,0,0,0,134.337,67
p2,t6,quetra,2562.44,78,0.421295,0,0,0,0,0
p2,t6,ra,2747.67,35,0.34009,0,0,0,0,0
p2,t7,abr,1920.01,36,0.353768,0,0,0,39.312,39
p2,t7,ar,2682.69,24,0.307198,0,0,0,0,0
p2,t7,bba,2493.17,29,0.391475,0,0,0,8.423,14
p2,t7,bola,2571.95,12,0.287041,0,0,0,0,0
p2,t7,dy,2320.94,86,0.47164,0,0,0,26.275,21
p2,t7,elastic,2489.41,42,0.255322,0,0,0,0,0
p2,t7,gd,1042.76,78,0.725709,0,0,0,210.577,170
p2,t7,kama,2261.42,114,0.690591,0,0,0,137.155,118
p2,t7,quetra,2670.9,26,0.302809,0,0,0,0,0
p2,t7,ra,2664.43,22,0.294456,0,0,0,0,0
p3,t1,abr,1330.26,10,0.32994,4.627,7,0.661,29.967,44
p3,t1,ar,1857.74,19,0.282344,3.996,6,0.666,0,0
p3,t1,bba,1832.87,27,0.310598,3.532,8,0.4415,0,0
p3,t1,bola,1831.28,8,0.267039,4.622,6,0.770333,0,0
p3,t1,dy,1795.67,2,0.391625,4.092,8,0.5115,63.716,63
p3,t1,elastic,1827.57,53,0.267902,4.494,8,0.56175,0,0
p3,t1,gd,1250.21,4,0.383749,3.825,5,0.765,58.73,58
p3,t1,kama,1200,0,0.389119,4.295,6,0.715833,62.895,66
p3,t1,quetra,1860.76,19,0.274043,3.892,6,0.648667,0,0
p3,t1,ra,1794.16,20,0.29217,3.772,8,0.4715,0,0
p3,t2,abr,1689.76,4,0.227745,4.776,3,1.592,86.63,39
p3,t2,ar,2249.3,10,0.222806,3.667,2,1.8335,0,0
p3,t2,bba,2104.98,19,0.234865,4.159,2,2.0795,0,0
p3,t2,bola,2147.87,5,0.238771,5.038,3,1.67933,0,0
p3,t2,dy,1622,0,0.253525,3.772,2,1.886,105.936,3
p3,t2,elastic,2097.7,31,0.181991,3.924,2,1.962,15.124,8
p3,t2,gd,1622,0,0.258279,4.173,2,2.0865,116.15,48
p3,t2,kama,1622,0,0.254715,3.905,2,1.9525,119.176,48
p3,t2,quetra,2175.37,14,0.188492,4.21,2,2.105,0,0
